1003, 10030, 0.180425, 00:11 8-3-2021, D0, W1
1012, 10120, 0.175141, 00:11 8-3-2021, D0, W1
1023, 10230, 0.177753, 00:11 8-3-2021, D0, W1
1039, 10390, 0.178084, 00:11 8-3-2021, D0, W1
1158, 11580, 0.214283, 00:11 8-3-2021, D0, W1
1265, 12650, 0.266064, 00:11 8-3-2021, D0, W1
12679, 126790, 25.2627, 00:12 8-3-2021, D0, W1
1358, 13580, 0.287853, 00:12 8-3-2021, D0, W1
1460, 14600, 0.332297, 00:12 8-3-2021, D0, W1
1532, 15320, 0.386274, 00:12 8-3-2021, D0, W1
1533, 15330, 0.375361, 00:12 8-3-2021, D0, W1
1564, 15640, 0.375948, 00:12 8-3-2021, D0, W1
1643, 16430, 0.413174, 00:12 8-3-2021, D0, W1
2184, 21840, 0.740621, 00:12 8-3-2021, D0, W1
2460, 24600, 1.01147, 00:12 8-3-2021, D0, W1
2471, 24710, 0.956996, 00:12 8-3-2021, D0, W1
2551, 25510, 1.01127, 00:12 8-3-2021, D0, W1
2640, 26400, 1.09676, 00:12 8-3-2021, D0, W1
3143, 31430, 1.51391, 00:12 8-3-2021, D0, W1
3184, 31840, 1.55798, 00:12 8-3-2021, D0, W1
3431, 34310, 1.78951, 00:12 8-3-2021, D0, W1
3741, 37410, 2.21185, 00:12 8-3-2021, D0, W1
3920, 39200, 2.38741, 00:12 8-3-2021, D0, W1
4255, 42550, 2.80002, 00:12 8-3-2021, D0, W1
4339, 43390, 2.86023, 00:12 8-3-2021, D0, W1
4496, 44960, 3.10803, 00:12 8-3-2021, D0, W1
4693, 46930, 3.37346, 00:12 8-3-2021, D0, W1
4759, 47590, 3.44733, 00:12 8-3-2021, D0, W1
4765, 47650, 3.51748, 00:12 8-3-2021, D0, W1
5494, 54940, 4.58611, 00:12 8-3-2021, D0, W1
6206, 62060, 5.87877, 00:12 8-3-2021, D0, W1
6810, 68100, 7.49266, 00:13 8-3-2021, D0, W1
7483, 74830, 8.95205, 00:13 8-3-2021, D0, W1
7988, 79880, 9.96451, 00:13 8-3-2021, D0, W1
8283, 82830, 10.7432, 00:13 8-3-2021, D0, W1
9088, 90880, 12.7116, 00:13 8-3-2021, D0, W1
9995, 99950, 15.4886, 00:14 8-3-2021, D0, W1
