1004, 10040, 0.164161, 19:41 8-3-2021, D0, W1
1016, 10160, 0.170165, 19:41 8-3-2021, D0, W1
1031, 10310, 0.180054, 19:41 8-3-2021, D0, W1
1053, 10530, 0.198532, 19:41 8-3-2021, D0, W1
11635, 116350, 19.5573, 19:41 8-3-2021, D0, W1
1218, 12180, 0.22229, 19:41 8-3-2021, D0, W1
12303, 123030, 22.1521, 19:41 8-3-2021, D0, W1
13180, 131800, 24.9515, 19:42 8-3-2021, D0, W1
1371, 13710, 0.282176, 19:42 8-3-2021, D0, W1
14774, 147740, 31.2782, 19:42 8-3-2021, D0, W1
14962, 149620, 32.5746, 19:43 8-3-2021, D0, W1
1509, 15090, 0.347774, 19:43 8-3-2021, D0, W1
15992, 159920, 37.8426, 19:44 8-3-2021, D0, W1
16335, 163350, 39.012, 19:44 8-3-2021, D0, W1
1635, 16350, 0.397113, 19:44 8-3-2021, D0, W1
1663, 16630, 0.409463, 19:44 8-3-2021, D0, W1
17150, 171500, 43.3346, 19:45 8-3-2021, D0, W1
1774, 17740, 0.463082, 19:45 8-3-2021, D0, W1
1776, 17760, 0.46887, 19:45 8-3-2021, D0, W1
1825, 18250, 0.485606, 19:45 8-3-2021, D0, W1
18428, 184280, 48.7444, 19:46 8-3-2021, D0, W1
19428, 194280, 54.099, 19:47 8-3-2021, D0, W1
1950, 19500, 0.551182, 19:47 8-3-2021, D0, W1
19650, 196500, 55.3438, 19:48 8-3-2021, D0, W1
20604, 206040, 60.9308, 19:49 8-3-2021, D0, W1
2063, 20630, 0.620388, 19:49 8-3-2021, D0, W1
22077, 220770, 71.1941, 19:50 8-3-2021, D0, W1
2254, 22540, 0.763792, 19:50 8-3-2021, D0, W1
24467, 244670, 87.7943, 19:51 8-3-2021, D0, W1
27155, 271550, 106.915, 19:53 8-3-2021, D0, W1
2837, 28370, 1.15644, 19:53 8-3-2021, D0, W1
2858, 28580, 1.16707, 19:53 8-3-2021, D0, W1
30394, 303940, 133.418, 19:55 8-3-2021, D0, W1
3353, 33530, 1.63514, 19:55 8-3-2021, D0, W1
3374, 33740, 1.67536, 19:55 8-3-2021, D0, W1
3521, 35210, 1.78208, 19:55 8-3-2021, D0, W1
3688, 36880, 1.9634, 19:55 8-3-2021, D0, W1
4662, 46620, 3.17138, 19:55 8-3-2021, D0, W1
4744, 47440, 3.24831, 19:56 8-3-2021, D0, W1
4933, 49330, 3.50449, 19:56 8-3-2021, D0, W1
5246, 52460, 4.04831, 19:56 8-3-2021, D0, W1
5893, 58930, 4.96148, 19:56 8-3-2021, D0, W1
6023, 60230, 5.29829, 19:56 8-3-2021, D0, W1
6273, 62730, 5.60143, 19:56 8-3-2021, D0, W1
6442, 64420, 5.95987, 19:56 8-3-2021, D0, W1
7005, 70050, 7.09239, 19:56 8-3-2021, D0, W1
7191, 71910, 7.39165, 19:56 8-3-2021, D0, W1
7543, 75430, 8.31188, 19:56 8-3-2021, D0, W1
7992, 79920, 9.25525, 19:57 8-3-2021, D0, W1
8142, 81420, 9.77813, 19:57 8-3-2021, D0, W1
8157, 81570, 9.61679, 19:57 8-3-2021, D0, W1
9876, 98760, 14.0537, 19:57 8-3-2021, D0, W1
