1004, 10040, 0.0438413, 20:14 8-3-2021, R0, W1
1016, 10160, 0.046774, 20:14 8-3-2021, R0, W1
1031, 10310, 0.0473253, 20:14 8-3-2021, R0, W1
1053, 10530, 0.0501185, 20:14 8-3-2021, R0, W1
11635, 116350, 5.05269, 20:14 8-3-2021, R0, W1
1218, 12180, 0.059764, 20:14 8-3-2021, R0, W1
12303, 123030, 5.62676, 20:14 8-3-2021, R0, W1
13180, 131800, 7.04433, 20:14 8-3-2021, R0, W1
1371, 13710, 0.0786546, 20:14 8-3-2021, R0, W1
14774, 147740, 7.48537, 20:14 8-3-2021, R0, W1
14962, 149620, 7.73953, 20:14 8-3-2021, R0, W1
1509, 15090, 0.0888067, 20:14 8-3-2021, R0, W1
15992, 159920, 9.11865, 20:15 8-3-2021, R0, W1
16335, 163350, 9.36798, 20:15 8-3-2021, R0, W1
1635, 16350, 0.10609, 20:15 8-3-2021, R0, W1
1663, 16630, 0.10899, 20:15 8-3-2021, R0, W1
17150, 171500, 10.1628, 20:15 8-3-2021, R0, W1
1774, 17740, 0.116778, 20:15 8-3-2021, R0, W1
1776, 17760, 0.121752, 20:15 8-3-2021, R0, W1
1825, 18250, 0.125521, 20:15 8-3-2021, R0, W1
18428, 184280, 11.9765, 20:15 8-3-2021, R0, W1
19428, 194280, 13.0769, 20:15 8-3-2021, R0, W1
1950, 19500, 0.14557, 20:15 8-3-2021, R0, W1
19650, 196500, 13.7632, 20:16 8-3-2021, R0, W1
20604, 206040, 14.8696, 20:16 8-3-2021, R0, W1
2063, 20630, 0.154505, 20:16 8-3-2021, R0, W1
22077, 220770, 16.7386, 20:16 8-3-2021, R0, W1
2254, 22540, 0.187409, 20:16 8-3-2021, R0, W1
24467, 244670, 20.7766, 20:17 8-3-2021, R0, W1
27155, 271550, 25.4101, 20:17 8-3-2021, R0, W1
2837, 28370, 0.275124, 20:17 8-3-2021, R0, W1
2858, 28580, 0.268967, 20:17 8-3-2021, R0, W1
30394, 303940, 31.3813, 20:17 8-3-2021, R0, W1
3353, 33530, 0.372514, 20:17 8-3-2021, R0, W1
3374, 33740, 0.491053, 20:18 8-3-2021, R0, W1
3521, 35210, 0.418743, 20:18 8-3-2021, R0, W1
3688, 36880, 0.462441, 20:18 8-3-2021, R0, W1
4662, 46620, 0.736301, 20:18 8-3-2021, R0, W1
4744, 47440, 0.948417, 20:18 8-3-2021, R0, W1
4933, 49330, 0.908324, 20:18 8-3-2021, R0, W1
5246, 52460, 0.995416, 20:18 8-3-2021, R0, W1
5893, 58930, 1.62385, 20:18 8-3-2021, R0, W1
6023, 60230, 1.61421, 20:18 8-3-2021, R0, W1
6273, 62730, 1.79902, 20:18 8-3-2021, R0, W1
6442, 64420, 1.51427, 20:18 8-3-2021, R0, W1
7005, 70050, 1.83111, 20:18 8-3-2021, R0, W1
7191, 71910, 1.85046, 20:18 8-3-2021, R0, W1
7543, 75430, 2.34274, 20:18 8-3-2021, R0, W1
7992, 79920, 2.273, 20:18 8-3-2021, R0, W1
8142, 81420, 2.63546, 20:18 8-3-2021, R0, W1
8157, 81570, 2.81175, 20:18 8-3-2021, R0, W1
9876, 98760, 3.84921, 20:18 8-3-2021, R0, W1
