1004, 10040, 1780.27, 18:30 8-3-2021, D0, W1
7005, 70050, 6.38684, 18:31 8-3-2021, D0, W1
1004, 10040, 0.178307, 18:58 8-3-2021, D0, W1
7005, 70050, 6.4876, 18:58 8-3-2021, D0, W1
1950, 19500, 0.472666, 18:58 8-3-2021, D0, W1
16335, 163350, 33.6322, 18:58 8-3-2021, D0, W1
7543, 75430, 7.28502, 18:59 8-3-2021, D0, W1
5246, 52460, 3.42488, 18:59 8-3-2021, D0, W1
3353, 33530, 1.45124, 18:59 8-3-2021, D0, W1
22077, 220770, 64.0729, 19:00 8-3-2021, D0, W1
17150, 171500, 38.6911, 19:00 8-3-2021, D0, W1
13180, 131800, 22.238, 19:01 8-3-2021, D0, W1
1825, 18250, 0.418109, 19:01 8-3-2021, D0, W1
19428, 194280, 47.1868, 19:01 8-3-2021, D0, W1
11635, 116350, 17.6113, 19:02 8-3-2021, D0, W1
5893, 58930, 4.52721, 19:02 8-3-2021, D0, W1
2858, 28580, 1.03399, 19:02 8-3-2021, D0, W1
1053, 10530, 0.152724, 19:02 8-3-2021, D0, W1
1371, 13710, 0.252044, 19:02 8-3-2021, D0, W1
3521, 35210, 1.56493, 19:02 8-3-2021, D0, W1
1663, 16630, 0.347416, 19:02 8-3-2021, D0, W1
1774, 17740, 0.397078, 19:02 8-3-2021, D0, W1
30394, 303940, 116.612, 19:04 8-3-2021, D0, W1
4662, 46620, 2.75805, 19:04 8-3-2021, D0, W1
1509, 15090, 0.303088, 19:04 8-3-2021, D0, W1
1016, 10160, 0.137257, 19:04 8-3-2021, D0, W1
1031, 10310, 0.136324, 19:04 8-3-2021, D0, W1
3688, 36880, 1.7484, 19:04 8-3-2021, D0, W1
6273, 62730, 5.11273, 19:04 8-3-2021, D0, W1
7191, 71910, 6.57526, 19:04 8-3-2021, D0, W1
7992, 79920, 8.28214, 19:04 8-3-2021, D0, W1
8142, 81420, 8.479, 19:04 8-3-2021, D0, W1
1776, 17760, 0.403399, 19:04 8-3-2021, D0, W1
9876, 98760, 12.2301, 19:05 8-3-2021, D0, W1
4744, 47440, 2.94645, 19:05 8-3-2021, D0, W1
3374, 33740, 1.50295, 19:05 8-3-2021, D0, W1
1218, 12180, 0.191559, 19:05 8-3-2021, D0, W1
8157, 81570, 8.31276, 19:05 8-3-2021, D0, W1
14962, 149620, 28.3724, 19:05 8-3-2021, D0, W1
15992, 159920, 32.0682, 19:06 8-3-2021, D0, W1
6023, 60230, 4.65994, 19:06 8-3-2021, D0, W1
2837, 28370, 1.05215, 19:06 8-3-2021, D0, W1
20604, 206040, 53.9911, 19:07 8-3-2021, D0, W1
12303, 123030, 19.8986, 19:07 8-3-2021, D0, W1
27155, 271550, 92.4067, 19:09 8-3-2021, D0, W1
24467, 244670, 75.512, 19:10 8-3-2021, D0, W1
6442, 64420, 5.44197, 19:10 8-3-2021, D0, W1
1635, 16350, 0.377869, 19:10 8-3-2021, D0, W1
4933, 49330, 3.0895, 19:10 8-3-2021, D0, W1
2254, 22540, 0.651266, 19:10 8-3-2021, D0, W1
19650, 196500, 51.1394, 19:11 8-3-2021, D0, W1
2063, 20630, 0.536768, 19:11 8-3-2021, D0, W1
14774, 147740, 27.4751, 19:11 8-3-2021, D0, W1
18428, 184280, 44.4201, 19:12 8-3-2021, D0, W1
